filename,berv,snr,nan_count,flux_median,wavelength_start,wavelength_end
2515634t.fits,-26.210883826216598,155.6939070067399,930,0.10672787186739224,1280.7483684301133,1321.249201584588
2882534t.fits,-3.931128175631362,170.00576643008145,925,0.10335166107845002,1280.746684945077,1321.2485430758554
2470201t.fits,23.26199029820581,155.6519015547383,937,0.11897799545014716,1280.7482345775684,1321.248928921394
2518351t.fits,-25.799330755062957,147.81291317631727,935,0.09825265712932293,1280.7484299544212,1321.2491782145119
2620690t.fits,-4.429387684381566,173.68135408826228,924,0.14201417854409187,1280.748829263816,1321.2491860256168
2619196t.fits,-1.3138947730596144,188.6467541473173,939,0.1638331423362808,1280.7486455950598,1321.2492144211733
2446949t.fits,-25.46702731836435,108.77828189262483,952,0.07667205312798517,1280.752449610026,1321.2539708296626
2510535t.fits,-24.588665428869447,165.8473043201219,932,0.11701192886888316,1280.748481483613,1321.249101440635
2618582t.fits,0.1846130419374285,137.24545854745412,927,0.09334346322957314,1280.7486386506778,1321.249189396628
2882682t.fits,-4.254516097390039,190.5755425408308,926,0.1277659169509156,1280.7468860168835,1321.2485391204502
2399658t.fits,23.75861197360915,106.30241302182975,943,0.11220168801468657,1280.7520381632837,1321.2529308741814
2504546t.fits,-18.807337262543083,110.26585062445352,943,0.06384718861419894,1280.7483179377955,1321.2491810218992
3014629t.fits,25.977025692712605,196.933632192802,932,0.16729442314848503,1280.7441797609972,1321.2476711965307
2662941t.fits,-24.255766286214815,190.78344102752558,925,0.12668586189537848,1280.7488685989993,1321.2493296128798
2512553t.fits,-25.191418747399723,172.56367139952837,987,0.12850882598145016,1280.748432461473,1321.2491510213474
2446507t.fits,-25.681430295380796,150.1919923653008,933,0.1313360571901515,1280.7527267468372,1321.2538783825073
2493003t.fits,5.41197711020465,122.71854451232258,935,0.08745484601179754,1280.7483235263983,1321.2490338575958
2665074t.fits,-22.118996409463513,182.80048520987597,934,0.11811785051006791,1280.7488694229785,1321.249345169605
2425559t.fits,3.2586659940303266,142.5362933686309,951,0.2735935957575386,1280.753045515087,1321.2541992524073
2885396t.fits,-11.579518835174822,105.38032626569586,933,0.039680320102882395,1280.7466682002816,1321.2485457578978
2732275t.fits,26.545550931533374,187.6315217319524,935,0.14329660350414153,1280.7490306111645,1321.249217653069
2513410t.fits,-25.672765654946307,175.4863806655379,932,0.1307756281689314,1280.7484629040882,1321.2491232365392
2447147t.fits,-25.449026470814267,145.7152118109902,954,0.12447436347668003,1280.7525945511265,1321.2539125112403
2400806t.fits,22.534885490676363,119.55219357620966,945,0.1334964501204413,1280.7519885887036,1321.2529978020543
2746683t.fits,23.835342056940647,175.34895679769625,931,0.12423448449766528,1280.748838658912,1321.249325390814
2399663t.fits,23.740013046745883,99.3029559409446,943,0.10048571274195635,1280.7520381632837,1321.2529308741814
2413114t.fits,15.345981703423828,140.49826526115353,978,0.26191263559421074,1280.7523107400114,1321.252965773064
3025875t.fits,-2.781895163414891,193.92222845363526,928,0.16694329070825104,1280.7442440643326,1321.2480810676589
2517606t.fits,-26.081508053017288,190.71878893385113,946,0.15320206496401756,1280.7484654387326,1321.2491683023889
2454118t.fits,-20.97767558065004,124.14265879637415,942,0.09567933879261356,1280.7530139447256,1321.2538546268988
2892892t.fits,-23.22836461722831,191.57923565696822,921,0.12833373818312807,1280.7469111029689,1321.248514514372
2516280t.fits,-26.231871196914664,144.22505960847587,944,0.09410796448659407,1280.748417331512,1321.249171093316
2872857t.fits,16.64562682803962,122.72131048522591,956,0.05778444121125456,1280.7468021950606,1321.2485135508366
2762912t.fits,5.77898977058195,138.25409286115695,932,0.08109673417806587,1280.7487080419223,1321.249385613169
2664841t.fits,-22.38204118381794,158.7508160087068,925,0.0930173329038839,1280.7489932398319,1321.249318918
2519212t.fits,-25.39619781150862,175.06949610906292,937,0.13108535086722667,1280.7483829971393,1321.2491744340869
2762030t.fits,8.018836326211437,197.5888079999426,940,0.15009719586082831,1280.7487002333075,1321.249399694816
2893536t.fits,-24.00460168192527,155.98580679506904,925,0.08846189877869318,1280.7470156167567,1321.2485324768054
3029026t.fits,-13.402475918864612,171.46952979286567,925,0.1376881350404341,1280.7442135079116,1321.247881750684
2402542t.fits,21.097727112138987,109.76553785203191,950,0.11970209206281703,1280.7522003676092,1321.252966302613
2516559t.fits,-26.282865359277658,176.84786131173814,932,0.13454995209630763,1280.7483442126465,1321.249181284577
3020071t.fits,19.091755897360443,196.35336046533007,932,0.17337824359831638,1280.7442826511904,1321.2481133050376
2900698t.fits,-25.8145191990802,195.39669079348803,921,0.12659890061406565,1280.7472511160652,1321.2484547937445
3036340t.fits,-21.567769271322835,185.1820246011512,942,0.1546718129562179,1280.7441582754655,1321.2477755929058
2899734t.fits,-26.36499242026869,181.42745240919106,921,0.11520988767209031,1280.7470972372396,1321.248537304469
2491810t.fits,7.734353387650578,139.58448829124782,967,0.10500988182358242,1280.7482620320168,1321.2490609975646
2488148t.fits,15.673580851247175,104.03006642253054,931,0.06689999729063467,1280.7481175828063,1321.2490708068474
2746885t.fits,23.653569617674947,169.97547961168556,950,0.11900464728047583,1280.7488898598588,1321.249310848223
2886319t.fits,-14.200526116064957,160.30972974794545,925,0.08757426637319081,1280.7462385466242,1321.2485914082977
